date,澄天伟业,必创科技,飞利信,英唐智控,特发信息,歌尔股份,移为通信,民德电子,长盈精密,和而泰,国民技术,东软载波,*ST晨鑫,万盛股份,安控科技,润欣科技,东土科技,兆日科技,澳洋顺昌,力源信息,联创光电,经纬辉开,三川智慧,富瀚微,苏试试验,景嘉微,博创科技,水晶光电,太极实业,睿创微纳,鼎龙股份,木林森,纳思达,科力远,中颖电子,高鸿股份,大族激光,紫光国微,赛微电子,太辰光,汇顶科技,轴研科技,华工科技,跃岭股份,联创电子,晶晨股份,全志科技,乾照光电,海伦哲,智光电气,上海贝岭,北方华创,四维图新,亚翔集成,士兰微,聚灿光电,光弘科技,汉威科技,*ST大港,证通电子,扬杰科技,通富微电,天龙股份,中微公司,翠微股份,澜起科技,中科曙光,苏州固锝,晶方科技,航锦科技,怡达股份,国科微,华胜天成,博通集成,鼎信通讯,*ST北能,恒实科技,格力电器,圣邦股份,荣联科技,大恒科技,奥普光电,*ST华讯,韦尔股份,波导股份,瑞斯康达,明阳智能,欧比特,南洋股份,劲嘉股份,兆易创新,华天科技,华灿光电,北京君正,华微电子,腾信股份,卓胜微,*ST盈方,*ST德豪,海特高新,博威合金,乐鑫科技,长电科技,上海新阳,中化岩土,晓程科技,大唐电信,金信诺,光力科技,吉视传媒,张江高科,华力创通,卫士通,亨通光电,嘉欣丝绸,淳中科技,华西股份,友讯达,合众思壮,天和防务,*ST高升,综艺股份,三安光电,传艺科技,宏达电子,ST瑞德,三泰控股,振芯科技,兆驰股份,中海达,光库科技,捷捷微电,光迅科技,台基股份,富满电子,亚光科技
2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,5.057390221496771,-4.003309778503227,1.3799902214967739,-1.482309778503227,0.8854902214967688,28.93369022149677,3.8420902214967723,-2.042509778503227,17.17289022149678,-13.173909778503226,-2.9705097785032284,12.042490221496774,-0.8971097785032307,0.009790221496771334,2.0662902214967733,7.705490221496772,-4.915209778503227,-2.6264097785032305,-4.619809778503226,-5.749609778503227,2.3731902214967735,-1.1294097785032255,-3.8063097785032287,8.17179022149677,20.78919022149677,19.856990221496773,13.278490221496769,21.17499022149677,3.1262902214967734,-18.284009778503226,-7.918409778503225,11.903890221496772,17.67019022149677,-9.315609778503227,-3.0096097785032296,-0.18300977850322697,12.957690221496772,-5.241409778503227,8.679790221496773,-0.9034097785032267,3.283190221496768,-2.246009778503229,8.676590221496774,-12.449509778503229,25.170390221496774,-23.07260977850323,16.425790221496776,-2.9117097785032273,-1.7249097785032248,35.017990221496774,-1.9551097785032274,1.3191902214967755,3.283890221496774,8.916890221496773,-1.3501097785032266,-6.643109778503229,-2.046809778503226,2.1948902214967703,-12.633609778503226,4.327590221496774,-5.920409778503226,19.353290221496774,7.933890221496774,-3.08200977850323,0.8985902214967716,-9.854609778503228,-4.189309778503229,5.768690221496774,15.664690221496777,5.739690221496772,2.373990221496772,15.600590221496766,0.04029022149677064,5.302190221496771,6.424790221496771,4.204890221496772,7.137790221496773,1.575890221496775,17.619290221496772,17.19959022149677,0.859390221496771,4.117190221496773,-13.462609778503229,10.750090221496773,3.369290221496774,-0.8402097785032274,9.961090221496773,1.906890221496771,-5.848709778503226,-14.580109778503228,10.548890221496777,2.091290221496772,0.3423902214967729,7.295590221496773,-1.3894097785032269,4.034390221496772,21.488390221496772,24.350490221496766,-2.1242097785032303,-0.6532097785032249,7.019790221496772,14.392790221496773,14.295290221496769,7.033190221496773,-5.424709778503228,-13.538109778503227,2.381590221496774,7.439990221496769,13.813390221496771,-5.789809778503226,-3.5318097785032245,1.221790221496773,-1.3561097785032263,7.1553902214967735,5.709790221496774,-2.7147097785032255,-2.604909778503229,-2.097709778503227,1.0923902214967758,2.8307902214967733,-3.430109778503227,-0.9650097785032261,26.468190221496773,0.9203902214967723,2.4482902214967712,-7.655109778503231,-3.2275097785032285,-2.8804097785032283,-4.359709778503229,10.941590221496774,12.014990221496774,2.3989902214967724,-1.5892097785032262,-9.717109778503227,-2.9821097785032276,-4.343209778503228
2019-10-08,4.042426126241217,-7.560373873758782,0.47792612624121844,-2.3662738737587827,-3.500873873758783,23.792426126241217,3.1250261262412176,-0.9531738737587814,10.82072612624122,-13.007573873758785,-2.697373873758784,5.601326126241218,-1.3572738737587873,1.3516261262412153,-0.24947387375878272,6.612326126241218,-7.283173873758783,-3.007673873758785,-6.159173873758784,-7.114473873758782,1.205326126241219,-1.2567738737587835,-3.5386738737587833,3.033426126241213,22.597626126241217,20.72082612624122,7.419926126241215,14.583426126241221,1.867126126241218,-23.058173873758786,-8.245673873758781,6.073126126241219,7.739026126241217,-9.94777387375878,-7.505673873758781,-1.1056738737587823,10.969026126241221,-6.0300738737587825,5.567226126241221,-8.000973873758781,-4.781273873758786,-5.410773873758783,2.985626126241219,-11.573873873758783,20.849726126241215,-25.691273873758785,14.61072612624122,-5.609873873758783,-0.7153738737587791,31.542726126241213,-2.9355738737587833,-0.5997738737587788,0.7647261262412164,8.058526126241217,-1.8772738737587833,-8.613473873758785,-5.84877387375878,0.5832261262412155,-12.324473873758784,3.8983261262412188,-5.0522738737587805,16.587126126241223,8.700826126241218,-6.851673873758784,1.4855261262412176,-12.469573873758783,-6.381273873758786,4.760026126241217,12.965526126241224,6.000926126241217,0.7219261262412178,7.9031261262412125,-2.040073873758785,-6.754473873758785,1.716826126241215,4.371926126241216,5.539326126241221,1.5417261262412176,6.442626126241214,21.823426126241216,1.281726126241217,3.4727261262412172,-13.539173873758788,1.2612261262412185,0.44932612624121804,-3.3489738737587826,6.964726126241217,-2.4384738737587837,-7.539973873758781,-16.586773873758784,4.76522612624122,1.2671261262412172,-1.7420738737587818,-1.25507387375878,-1.415373873758782,1.3276261262412175,4.64012612624122,19.567326126241216,-0.07697387375878506,-4.417973873758778,5.163126126241217,9.163526126241216,12.956626126241217,4.108026126241217,-1.869173873758783,-12.606673873758782,1.032126126241219,-1.3754738737587848,11.988026126241216,-6.93457387375878,-2.7046738737587823,-1.170473873758781,-9.180273873758784,5.418926126241218,6.392826126241219,1.1077261262412215,-3.761273873758784,-2.359973873758781,-0.783373873758781,-0.8904738737587814,-3.358873873758782,-1.1572738737587827,25.629226126241218,2.004526126241216,-5.9426738737587845,-9.692573873758786,-5.430173873758786,-7.840973873758784,-5.095173873758784,6.202926126241218,8.834826126241218,-2.001773873758783,-2.603573873758781,-9.807273873758783,-4.980273873758783,-7.64987387375878
2019-10-09,7.316164625118635,-7.304335374881364,-0.6998353748813622,0.48276462511863616,-9.762735374881366,16.381364625118636,3.7081646251186355,0.5319646251186363,11.64946462511864,-15.695135374881366,-3.000235374881365,5.445164625118634,0.18896462511863188,4.714464625118635,-0.48853537488136367,7.777864625118637,-4.974135374881364,0.542564625118636,-2.0954353748813626,-6.7322353748813635,3.7585646251186375,2.556964625118637,-2.120335374881365,6.539564625118634,25.501564625118636,15.775864625118635,0.17576462511863278,12.484964625118636,1.9003646251186377,-25.763035374881362,-3.5229353748813645,2.138364625118637,10.017464625118636,-8.139835374881365,-9.578835374881363,-0.41093537488136356,4.830364625118637,-3.8336353748813647,5.06456462511864,-7.905335374881364,-0.10093537488136728,-2.863035374881365,2.186764625118638,-8.879835374881363,24.762364625118632,-31.57693537488137,14.42276462511864,-3.5012353748813627,0.9074646251186369,34.26796462511863,0.057564625118635915,0.060564625118638915,2.481864625118636,8.391964625118637,0.24706462511863614,-6.522235374881366,-2.959935374881362,1.8040646251186336,-10.399035374881363,5.94316462511864,-1.4616353748813637,16.967264625118634,9.041664625118637,-8.488635374881369,7.975264625118635,-15.640235374881366,-4.455135374881366,6.017664625118637,14.154664625118642,4.425464625118636,4.463664625118636,2.441264625118631,-2.8792353748813664,-8.389935374881365,2.678664625118636,5.370564625118636,-2.513135374881364,0.8577646251186355,14.359764625118633,24.294264625118632,2.083564625118634,5.117764625118636,-10.635035374881365,5.427064625118637,1.2017646251186358,-2.8616353748813648,5.831564625118638,-0.013835374881364437,-5.366935374881363,-11.219935374881363,3.3859646251186355,-0.7175353748813642,-2.9491353748813633,-2.2512353748813636,8.185464625118637,1.6896646251186356,4.67846462511864,14.843764625118634,2.451064625118634,0.23846462511863842,10.606464625118635,-6.728635374881366,15.028564625118634,6.535064625118636,0.979764625118635,-9.82343537488136,-5.797935374881361,-1.0041353748813655,12.659064625118637,-4.157635374881362,-0.9844353748813617,1.3250646251186389,-5.480435374881365,3.983864625118638,9.643664625118639,-1.881135374881361,0.8458646251186348,0.9273646251186374,-0.287035374881363,1.5969646251186371,-2.467635374881364,-0.018035374881362642,23.741964625118637,5.275664625118636,-2.957935374881365,-5.91733537488137,-0.4112353748813671,-4.886835374881364,-4.570135374881367,9.278864625118636,9.323664625118637,-0.37883537488136465,-0.8278353748813636,-5.880135374881363,-2.7275353748813638,-13.287235374881362
2019-10-10,9.282068478020449,-6.495031521979551,0.09076847802045185,-2.6380315219795487,-8.58653152197955,20.07536847802045,2.70076847802045,0.16496847802045123,11.544368478020456,-16.56983152197955,-4.11333152197955,2.29936847802045,2.7376684780204457,6.32406847802045,-2.5504315219795495,5.803968478020453,-5.667431521979548,1.6886684780204493,-4.418131521979548,-10.319131521979546,1.6354684780204511,0.2717684780204508,-3.4304315219795503,7.682268478020449,22.965668478020447,16.320468478020448,0.7553684780204452,19.034968478020456,-0.1608315219795482,-24.75223152197955,-5.779931521979549,0.8120684780204526,8.962068478020448,-7.45943152197955,-9.20533152197955,-2.188731521979549,10.770768478020454,-11.939431521979548,4.607968478020454,-5.660231521979549,3.285168478020448,-3.213431521979551,3.008868478020452,-8.904331521979548,28.34286847802045,-29.480031521979555,5.432168478020454,-4.47093152197955,-1.5099315219795475,26.357868478020446,-2.8565315219795506,-0.7538315219795462,2.7647684780204504,6.36166847802045,-1.4761315219795499,-5.526631521979553,1.2561684780204514,2.7759684780204483,-10.308531521979551,5.757168478020452,-7.709231521979548,12.21676847802045,6.905368478020454,-9.469831521979552,4.087868478020449,-15.62493152197955,-9.644231521979552,2.6948684780204495,10.713868478020458,2.953368478020449,2.070668478020454,-4.776031521979555,-3.493631521979551,-9.394131521979553,-1.535131521979551,2.6911684780204492,-5.840531521979548,-3.28013152197955,16.807268478020447,23.956268478020448,4.63476847802045,3.65246847802045,-10.29343152197955,7.425768478020451,-0.3140315219795493,-3.6686315219795502,1.1889684780204504,-3.60813152197955,-11.201731521979548,-12.75213152197955,3.7137684780204534,-4.71293152197955,-3.4230315219795484,-11.57343152197955,8.248068478020453,1.0760684780204506,9.979568478020454,11.462368478020453,-1.448131521979552,-0.4169315219795464,9.643168478020451,-5.427631521979553,4.206568478020449,-2.3024315219795475,-1.821331521979551,-10.95733152197955,-6.547431521979549,-0.777731521979552,13.396468478020449,-4.99563152197955,-2.0472315219795485,9.479468478020452,-5.724031521979551,2.9520684780204522,7.425268478020451,-2.9338315219795463,0.19786847802044866,-1.0013315219795478,-0.14283152197954885,7.081268478020451,-3.795031521979549,-2.145231521979549,24.022068478020454,-0.8756315219795485,-2.6937315219795512,-3.667231521979555,-0.4458315219795519,-4.923531521979552,-4.29793152197955,9.26476847802045,11.45056847802045,-2.8561315219795507,-1.8799315219795487,-8.52653152197955,-2.038531521979549,-10.79303152197955
2019-10-11,8.312053721822624,-4.520346278177378,2.4000537218226246,-0.41824627817737614,-11.106546278177378,25.164753721822624,-1.8234462781773784,0.5086537218226231,9.221853721822626,-11.25354627817738,-7.751846278177377,3.413753721822622,1.089753721822619,7.343453721822622,-0.4122462781773768,5.391953721822625,-3.283746278177377,2.152153721822622,-3.382646278177376,-8.436846278177374,-2.0568462781773773,1.217953721822623,-2.207146278177378,9.98785372182262,24.673253721822626,25.23305372182262,-2.160046278177381,19.22835372182262,0.304253721822624,-26.98334627817738,-7.748646278177378,-0.9168462781773781,6.884253721822622,-3.541246278177378,-8.23314627817738,-2.1756462781773767,9.191453721822624,-10.038646278177376,2.731253721822625,-11.429746278177378,6.088753721822618,-8.158246278177378,-6.5260462781773745,-11.220246278177378,24.89115372182262,-29.41544627817738,6.346353721822625,-3.207546278177377,-0.2595462781773753,21.644053721822623,-2.2655462781773776,-4.385246278177373,0.8106537218226235,4.224953721822624,-0.7549462781773779,-4.884146278177381,0.2729537218226228,8.68495372182262,-8.316846278177378,6.219253721822627,-8.906646278177375,12.706453721822621,6.834353721822625,-10.053246278177381,5.8102537218226225,-15.903046278177378,-7.925346278177379,3.9706537218226234,9.321653721822628,2.604953721822622,1.6536537218226242,-8.398046278177382,-1.4760462781773787,-11.59354627817738,-0.9194462781773785,3.3731537218226233,-6.1444462781773765,1.9146537218226223,16.09525372182262,26.313753721822618,5.338253721822623,8.595353721822624,-8.530146278177378,5.683953721822624,2.831153721822624,-2.8440462781773777,0.8204537218226222,-1.8591462781773778,-9.750246278177375,-11.982446278177378,4.139153721822623,-3.424046278177377,-3.633546278177376,-12.98254627817738,8.906053721822625,6.173753721822623,15.665553721822626,15.37235372182262,-0.7795462781773792,-1.4671462781773739,6.006553721822623,-5.124946278177378,1.2044537218226221,-2.441446278177377,2.796753721822622,-10.321546278177376,-6.663546278177377,-0.35074627817737825,11.92985372182262,-3.389246278177376,-1.7100462781773755,11.060553721822627,-4.439646278177379,3.993453721822624,6.278653721822624,-3.414046278177374,-0.6761462781773786,-6.6505462781773765,1.254453721822624,8.655353721822623,-2.6802462781773766,-1.3054462781773761,21.347653721822624,-0.44694627817737764,-4.043846278177378,0.9263537218226195,0.8605537218226197,-4.548746278177379,-3.211246278177378,9.196053721822624,12.062853721822623,-0.9926462781773784,-6.202646278177376,-7.190046278177378,-3.013946278177377,-10.851846278177378
2019-10-14,7.338880549924655,-7.052119450075349,2.8661805499246533,-3.480819450075346,-10.685319450075347,25.261380549924656,-11.533119450075347,-0.26841945007534707,0.3329805499246552,-9.049719450075347,-7.577919450075348,-2.248219450075349,4.029680549924647,4.873080549924653,-3.407319450075348,3.447580549924654,-13.642819450075345,0.9291805499246513,-4.7615194500753475,-12.043719450075345,-2.359319450075347,-0.7114194500753469,-3.7782194500753485,7.964980549924649,21.12338054992465,21.891980549924646,-6.749619450075352,22.169880549924656,-1.175619450075347,-21.891819450075353,-6.918419450075349,-2.8199194500753477,8.673880549924652,-3.3109194500753474,-9.787219450075348,-3.8422194500753486,9.835780549924653,-7.298919450075348,-1.865919450075346,-11.22191945007535,6.353680549924649,-9.128519450075348,-5.3938194500753465,-12.461619450075348,22.136380549924652,-26.58171945007535,6.138480549924655,-5.708419450075347,-1.1584194500753444,21.539080549924645,-2.201619450075349,-2.7500194500753445,-0.7756194500753486,3.9698805499246523,-0.043219450075348886,-3.938919450075353,-2.5227194500753476,6.03918054992465,-7.686819450075349,9.058680549924656,-8.859419450075347,13.10058054992465,4.802680549924656,-8.728119450075349,3.9033805499246523,-12.87361945007535,-8.814219450075349,2.295380549924652,5.397680549924656,-5.8864194500753495,0.2694805499246544,-3.314719450075353,2.542480549924651,-4.154919450075353,-11.503519450075348,3.009680549924652,-6.874719450075347,-0.48871945007534867,23.95588054992465,24.52628054992465,10.829080549924655,4.927580549924652,-9.277419450075348,6.038680549924653,-4.637619450075347,-5.462919450075349,-0.6053194500753483,-5.656719450075348,-14.022219450075347,-10.190719450075349,5.995080549924655,-2.646119450075348,-5.125619450075347,-8.13911945007535,6.135380549924654,2.665180549924651,20.507780549924654,11.070580549924651,-2.834119450075352,-0.917519450075344,3.737980549924653,6.023580549924654,4.913680549924651,1.5236805499246537,1.7850805499246518,-13.743419450075347,-12.731119450075347,-9.66061945007535,14.27908054992465,-5.1551194500753486,-3.3934194500753465,9.631080549924654,-12.675119450075348,-3.3889194500753472,5.811080549924653,-1.725619450075346,-2.154619450075349,-4.457019450075349,-0.40321945007534654,-9.150219450075348,-4.455319450075347,-3.137819450075347,21.741080549924654,-2.572719450075349,-10.30671945007535,2.9188805499246495,0.9295805499246493,-7.364619450075351,-4.624719450075349,5.298880549924653,7.521480549924654,-1.0107194500753485,-8.036619450075346,-11.95861945007535,-3.7480194500753488,-13.582319450075348
2019-10-15,9.868049841005078,-4.457050158994919,3.478049841005081,5.307549841005081,-9.591150158994923,26.948049841005087,-9.566050158994923,3.19644984100508,-5.153150158994918,-9.33265015899492,-6.206450158994921,-8.143950158994922,4.059949841005076,9.91784984100508,-0.4070501589949198,2.6092498410050817,-18.965850158994925,2.150849841005079,0.10024984100508094,-13.831650158994918,6.37984984100508,1.9072498410050804,-0.6033501589949222,15.97274984100508,22.83054984100508,22.673049841005078,-8.275650158994923,20.157749841005078,-1.00085015899492,-17.133850158994925,-9.048550158994919,1.802149841005079,9.719449841005078,2.9645498410050797,-10.655950158994921,-1.6066501589949214,16.517549841005078,-5.565350158994921,-2.0182501589949196,-17.11165015899492,1.5459498410050756,-4.097550158994922,-1.8932501589949189,-11.437850158994921,21.269049841005078,-22.20595015899492,1.373649841005082,-4.28135015899492,4.39794984100508,20.457349841005072,-3.2613501589949205,-2.151850158994916,-7.3002501589949205,6.446949841005081,-0.07345015899492124,-4.783250158994925,-10.30415015899492,9.605449841005075,-8.388750158994924,7.069449841005085,-10.12305015899492,18.79584984100508,7.996949841005083,-4.541650158994924,5.899949841005078,-11.05065015899492,-7.981450158994922,6.658549841005078,1.8797498410050828,-3.398450158994923,3.8979498410050817,3.6377498410050744,2.037449841005078,-12.049150158994918,-10.28545015899492,8.825649841005081,-0.5844501589949198,6.940649841005079,26.33084984100508,27.139449841005074,8.367249841005082,11.584549841005082,-13.135950158994921,3.98904984100508,1.0547498410050802,-4.313750158994923,-0.2373501589949214,-8.27315015899492,-10.793250158994919,-5.933650158994922,-1.6518501589949215,-7.007350158994921,-8.855950158994922,-7.050650158994921,9.649349841005082,5.395749841005079,20.46304984100508,13.735149841005077,1.6214498410050795,-1.3178501589949163,3.4830498410050796,9.010649841005083,2.2503498410050775,1.8906498410050805,8.02904984100508,-12.204250158994917,-13.60715015899492,-11.79525015899492,23.425649841005075,-0.2216501589949198,-0.13925015899491933,6.497549841005082,-13.536450158994919,0.1052498410050795,9.262749841005082,3.390449841005081,-0.31245015899492123,-3.0037501589949214,2.94164984100508,-13.10275015899492,-3.14665015899492,-0.7003501589949201,13.51114984100508,1.2395498410050794,-6.7107501589949194,5.415949841005076,4.936649841005076,-5.9426501589949225,3.81764984100508,1.8866498410050818,8.334649841005083,0.2840498410050789,-4.826950158994919,-9.885250158994921,-2.76625015899492,-7.868550158994922
