date,华鹏飞,信息发展,*ST联络,浩云科技,通策医疗,电魂网络,百邦科技,精准信息,鸿博股份,易联众,奇信股份,普邦股份,美亚柏科,创意信息,蓝盾股份,鲁商发展,爱迪尔,方直科技,金溢科技,汇金科技,杭州银行,数码科技,用友网络,华扬联众,怡亚通,卫宁健康,中国软件,润和软件,文化长城,新晨科技,德邦股份,安诺其,易华录,中科曙光,科蓝软件,思特奇,平安银行,国网信通,红相股份,*ST当代,华金资本,ST摩登,飞利信,光环新网,福光股份,众应互联,中科创达,银之杰,第一创业,传化智联,中远海科,兴业银行,润建股份,星期六,思创医惠,华媒控股,建科院,新朋股份,泰豪科技,北大荒,浙数文化,南华期货,大连港,顶点软件,恒生电子,*ST安通,易见股份,紫鑫药业,利欧股份,*ST高升,万达信息,*ST晨鑫,*ST欧浦,浪潮信息,吉宏股份,塞力斯,四维图新,梦网集团,皖通科技,金轮股份,巨人网络,深科技,卫士通,恒久科技,东方通,复旦复华,拉卡拉,石基信息,日海智能,二六三,富通鑫茂,华大基因,华闻集团,洪涛股份,东方财富,美的集团,浪潮软件,四川长虹,生意宝,国脉科技,密尔克卫,朗新科技,爱康科技,太阳能,金桥信息,航天信息,久其软件,鸿利智汇,数字政通,东方集团,金证股份,格尔软件,众信旅游,国盛金控,广电运通,美盈森,卓翼科技,中装建设,宇信科技,*ST群兴,海能达,奥拓电子,英飞拓,海峡创新,佳沃股份,辉煌科技,*ST天夏,远光软件,中文在线,三六零,海联金汇,金运激光,新湖中宝,新开普,亚联发展,顺丰控股,环球印务,和仁科技,交控科技,京蓝科技,超图软件,旋极信息,合金投资,吉艾科技,顺利办,北信源,合纵科技,天永智能,金固股份,博思软件,天源迪科,中国长城,广州浪奇,三力士,韵达股份,同花顺,恺英网络,深大通,东软集团,汉威科技,高伟达,荣联科技,丽鹏股份,榕基软件,中元股份,栖霞建设,金财互联,常山北明,智度股份,三聚环保,东华软件,东方国信,新华文轩,美盛文化,华英农业,苏宁易购,华宇软件,浙大网新,科达股份,高鸿股份,积成电子,二三四五,浙江富润,茂硕电源,创业慧康,四方精创,中嘉博创,贵阳银行,视觉中国,天音控股,博彦科技,优博讯,东旭蓝天,安妮股份,广博股份,麦达数字,东港股份,中科金财,鸿远电子,汇金股份,中青宝,青岛双星,达实智能,五洋停车,银江股份,数字认证,人民网,神州泰岳,南威软件,天舟文化,神州信息,劲嘉股份,光一科技,万马股份,达华智能,汉得信息,中南建设,金科文化,普路通,万方发展,奥马电器,新华网,御银股份,恒宝股份,惠程科技,任子行,国民技术,林洋能源,省广集团,飞天诚信,宣亚国际,厚普股份,金奥博,乐心医疗,聚龙股份,先进数通,新国都,今天国际,赢时胜,华胜天成,彩讯股份,中科信息,安居宝,爱施德
2019-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,-10.716399591828129,12.701900408171873,-2.711699591828129,21.707800408171874,2.785700408171871,-3.737199591828128,-0.1710995918281255,-16.828499591828127,-3.806199591828128,-1.5568995918281305,-3.3753995918281303,5.154900408171865,-5.89979959182813,-2.8803995918281307,0.28920040817186976,5.626900408171871,10.146700408171867,-0.5395995918281281,-9.842699591828127,10.819400408171871,4.74500040817187,-0.47879959182812826,-4.165899591828131,-0.581799591828129,-6.87059959182813,7.80170040817187,-1.9814995918281295,-1.988799591828128,-9.439199591828128,3.196600408171871,-0.0906995918281287,1.5317004081718713,15.741200408171867,-3.40189959182813,-2.460999591828127,3.87960040817187,8.86400040817187,12.567100408171866,-2.9685995918281276,2.1450004081718714,-2.335899591828129,-11.970299591828129,2.167400408171872,1.9103004081718713,-33.040799591828126,31.818800408171874,5.477000408171873,17.169100408171868,0.26740040817187216,4.93220040817187,-2.70049959182813,1.1102004081718708,4.10590040817187,-0.8789995918281295,4.28380040817187,7.438900408171872,-6.989599591828127,-1.486099591828129,-10.13689959182813,-3.6601995918281287,0.19060040817187085,142.79990040817182,1.1693004081718712,3.417500408171871,-1.06129959182813,33.02420040817187,6.480000408171868,2.773300408171869,-4.310199591828128,-2.6426995918281286,8.095900408171872,-0.10969959182812827,3.85660040817187,1.5919004081718708,19.68550040817187,15.206600408171871,4.071300408171867,5.954500408171872,-7.7709995918281285,3.8359004081718706,8.010800408171871,3.1699004081718702,-0.5686995918281277,-10.104599591828128,56.63280040817188,-5.8017995918281295,7.505100408171874,14.763100408171873,11.465500408171872,5.45100040817187,6.37260040817187,2.85870040817187,-8.914799591828126,-1.4358995918281288,1.4805004081718725,-4.185499591828131,-1.8472995918281303,-1.979999591828129,14.90390040817187,-0.6310995918281294,-1.278899591828129,13.407100408171873,-2.073499591828129,-0.25129959182812955,2.9237004081718707,-2.617099591828129,-10.755299591828129,3.6063004081718693,3.807800408171873,-1.5553995918281296,2.752700408171873,22.086500408171865,0.42230040817186965,11.84880040817187,24.113800408171873,2.82570040817187,1.9290004081718704,-1.5634995918281287,7.182100408171868,21.378800408171866,11.362700408171873,-2.9891995918281284,4.9771004081718715,-4.872099591828128,1.9210004081718717,0.17670040817187016,7.7966004081718685,8.93490040817187,-5.906799591828128,5.57430040817187,37.33520040817187,7.023300408171868,0.18820040817187045,9.189100408171871,25.805800408171876,-5.737399591828129,5.808800408171871,1.5352004081718709,-17.141599591828133,0.9882004081718723,0.0367004081718707,2.4331004081718683,-4.301399591828128,1.8227004081718767,-0.778899591828129,5.411000408171869,4.153700408171869,13.326300408171871,-4.05009959182813,37.64040040817187,-6.589699591828127,20.587100408171874,1.8418004081718724,12.28950040817187,-7.223399591828129,11.73850040817187,0.3663004081718704,-21.763899591828135,-4.205999591828128,2.982300408171869,5.436100408171868,17.98700040817187,-2.9847995918281294,-0.10929959182812876,-1.8888995918281277,-2.426999591828129,5.2553004081718715,2.104400408171871,-0.12809959182812858,-1.30999959182813,-2.2280995918281303,5.592200408171871,13.576900408171872,6.428600408171869,-8.70879959182813,-4.54679959182813,6.05010040817187,-0.10909959182812812,-0.5729995918281281,0.6044004081718715,5.484500408171875,0.727600408171871,9.950100408171867,15.554700408171877,8.848400408171873,12.654200408171867,8.40210040817187,2.7524004081718703,-16.02839959182813,7.9950004081718715,3.422000408171872,1.4599004081718707,-1.2868995918281305,3.8763004081718693,4.188400408171876,5.456000408171872,12.074600408171868,14.82850040817187,-9.288599591828127,18.87050040817187,23.206500408171866,8.61800040817187,-5.612899591828129,3.285900408171869,7.933800408171871,30.17720040817187,2.8952004081718705,-1.655099591828129,12.180300408171869,10.062200408171867,18.715900408171873,-13.792699591828132,1.7259004081718707,1.6573004081718716,14.003900408171871,-7.050999591828129,5.28190040817187,17.16220040817187,-3.701299591828128,0.013800408171870115,27.189400408171878,-4.652899591828129,-4.929099591828128,6.473600408171871,6.45180040817187,4.964700408171872,-2.18309959182813,6.51230040817187,-8.084199591828128,24.93060040817187,-5.326399591828128,0.1172004081718685,27.741900408171883,-7.720399591828127,20.489700408171878,0.17940040817186986,-4.408199591828128,-2.232399591828128,3.4280004081718722,0.8277004081718706,-2.778299591828128,1.6881004081718727,1.2350004081718706,-0.3376995918281289
