date,文化长城,飞利信,中科信息,中青宝,林洋能源,先进数通,金科文化,鸿远电子,万方发展,汇金科技,国民技术,韵达股份,*ST晨鑫,恒宝股份,浩云科技,天音控股,星期六,超图软件,五洋停车,万马股份,光一科技,天舟文化,数码科技,思特奇,复旦复华,聚龙股份,佳沃股份,易华录,乐心医疗,东方财富,汇金股份,汉得信息,新国都,福光股份,宣亚国际,浪潮信息,彩讯股份,银江股份,通策医疗,梦网集团,数字政通,华鹏飞,石基信息,吉艾科技,优博讯,科蓝软件,方直科技,金固股份,麦达数字,百邦科技,金冠股份,亚联发展,德邦股份,东方国信,博彦科技,拉卡拉,深科技,恺英网络,金财互联,神州泰岳,新华网,生意宝,高鸿股份,中元股份,广博股份,红相股份,金桥信息,美的集团,蓝盾股份,任子行,中文在线,巨人网络,英飞拓,华宇软件,中科创达,美亚柏科,茂硕电源,二六三,海联金汇,信息发展,今天国际,新开普,旋极信息,达实智能,润和软件,飞天诚信,交控科技,华扬联众,赢时胜,积成电子,中科金财,北信源,鸿利智汇,奇信股份,四维图新,新朋股份,金运激光,众信旅游,国盛金控,天源迪科,朗新科技,科达股份,汉威科技,思创医惠,*ST当代,辉煌科技,新华文轩,和仁科技,中国长城,浙数文化,东港股份,润建股份,普路通,海能达,浪潮软件,顺丰控股,常山北明,视觉中国,美盛文化,中科曙光,太阳能,国脉科技,爱施德,华闻集团,华媒控股,榕基软件,格尔软件,杭州银行,御银股份,利欧股份,同花顺,南威软件,创意信息,卓翼科技,海峡创新,浙江富润,华胜天成,东软集团,久其软件,华金资本,第一创业,恒生电子,精准信息,怡亚通,*ST联络,苏宁易购,银之杰,兴业银行,合纵科技,合金投资,二三四五,浙大网新,荣联科技,青岛双星,天永智能,塞力斯,洪涛股份,安居宝,皖通科技,众应互联,人民网,东方通,省广集团,深大通,广州浪奇,三聚环保,大连港,新晨科技,顺利办,金轮股份,三六零,顶点软件,普邦股份,鸿博股份,日海智能,平安银行,易联众,四川长虹,*ST安通,劲嘉股份,广电运通,栖霞建设,易见股份,金溢科技,华大基因,金证股份,远光软件,美盈森,用友网络,达华智能,惠程科技,中远海科,数字认证,密尔克卫,博思软件,泰豪科技,丽鹏股份,华英农业,京蓝科技,奥马电器,*ST欧浦,环球印务,吉宏股份,万达信息,航天信息,智度股份,东华软件,厚普股份,中国软件,东旭蓝天,新湖中宝,爱迪尔,奥拓电子,东方集团,ST摩登,卫士通,南华期货,恒久科技,中嘉博创,高伟达,富通鑫茂,金奥博,鲁商发展,宇信科技,安诺其,电魂网络,北大荒,光环新网,贵阳银行,传化智联,*ST高升,国网信通,中装建设,创业慧康,卫宁健康,爱康科技,紫鑫药业,*ST群兴,*ST天夏,安妮股份,三力士,神州信息,中南建设,四方精创
2019-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,-9.510045717897075,2.0965542821029235,1.6172542821029228,23.13565428210292,6.441454282102926,0.10855428210292684,17.091354282102927,-9.359445717897074,-0.057045717897077325,10.748554282102925,-2.2539457178970776,-7.29424571789708,-0.18054571789707863,6.402754282102919,21.636954282102923,7.9241542821029265,-0.9498457178970781,-0.03414571789707699,3.215054282102923,1.5864542821029255,1.655054282102927,9.991354282102925,-0.5496457178970757,3.8087542821029237,-5.8726457178970755,20.418854282102927,1.8501542821029253,15.670354282102927,-7.791245717897075,1.409654282102925,18.79965428210292,-7.1218457178970755,-4.479045717897076,-33.111645717897076,-5.397245717897077,1.5210542821029231,-2.849145717897075,7.862954282102923,2.7148542821029245,5.8836542821029205,3.736954282102927,-10.787245717897077,14.692254282102926,1.751854282102927,1.3890542821029257,-2.5318457178970757,-0.6104457178970766,-4.120945717897076,5.385154282102926,-0.24194571789707653,48.06615428210292,25.73495428210292,-0.16154571789707595,5.521354282102925,3.351154282102925,7.434254282102925,3.099054282102924,0.2954542821029251,5.184454282102924,-1.7259457178970752,-4.723745717897073,14.833054282102927,0.5335542821029247,-1.959745717897075,4.1175542821029225,-3.0394457178970744,2.852854282102924,-4.256345717897075,0.21835428210292607,4.893854282102925,-5.977645717897076,7.939954282102924,4.906254282102924,5.979254282102924,5.406154282102927,-5.970645717897077,15.483854282102918,5.380154282102924,37.264354282102914,12.631054282102927,-2.3032457178970764,9.118254282102924,2.362254282102925,-5.683745717897077,-2.059645717897073,24.859754282102926,-17.212445717897076,-0.6526457178970754,3.3571542821029254,5.413654282102922,14.757654282102926,5.340154282102926,3.535454282102926,-3.446245717897075,4.000454282102925,-1.5569457178970771,6.952454282102924,0.35145428210292373,11.777954282102922,-6.660545717897075,13.336254282102924,-0.643845717897078,2.911454282102924,4.212954282102925,2.074154282102926,0.1058542821029258,13.506054282102923,1.464354282102924,20.516254282102928,0.11975428210292582,12.003754282102921,4.035054282102924,-3.7721457178970743,11.291854282102921,-1.918145717897078,-5.808245717897076,2.033554282102923,-16.099245717897077,6.357754282102923,-3.4727457178970744,-0.32214571789707547,-0.7019457178970764,-0.40854571789707483,-8.985645717897077,7.368054282102926,-0.18014571789707357,22.01565428210292,4.674154282102924,-4.999945717897075,-4.381045717897074,11.66765428210293,12.109454282102924,-2.9512457178970766,1.858154282102924,-4.942945717897075,9.879254282102924,0.756854282102924,-4.276845717897075,-10.826145717897075,-2.406745717897074,0.1965542821029267,-1.1321457178970755,-16.89934571789707,-6.941445717897076,-2.782545717897076,-4.617645717897075,17.09825428210292,1.0393542821029247,4.082854282102924,-4.372245717897075,0.6567542821029264,-0.17994571789707703,17.916154282102923,8.54715428210292,13.255454282102924,15.135754282102923,-1.5067457178970756,1.1641542821029252,-7.8418457178970735,31.747954282102935,2.8243542821029224,56.561954282102924,-8.155045717897075,-21.834745717897082,1.7709542821029245,-1.3808457178970754,1.0984542821029248,3.125754282102923,-0.8497457178970766,3.7650542821029247,5.5034542821029255,3.346654282102924,5.084054282102923,-3.8770457178970754,11.394654282102927,8.793154282102922,-1.6277457178970773,-2.0508457178970754,32.95335428210292,-13.863545717897077,24.042954282102926,-2.497845717897075,6.409154282102923,-9.913545717897073,2.787854282102926,2.6818542821029245,8.864054282102925,2.7548542821029214,-4.236745717897078,13.933054282102923,6.380954282102925,-2.7713457178970753,30.106354282102927,-1.3497457178970738,37.56955428210292,-10.207745717897076,-3.0556457178970744,-8.779645717897075,0.917354282102925,27.11855428210292,3.7857542821029266,5.737954282102924,19.61465428210293,8.025054282102925,-2.6879457178970756,-0.19894571789707416,-2.2989457178970754,0.04635428210292458,-2.052345717897077,-1.3577457178970755,0.11735428210292442,10.075854282102922,-3.060045717897074,-1.6262457178970744,-12.041145717897075,-0.6395457178970754,142.7290542821029,-10.175445717897073,8.331254282102924,5.365254282102925,6.301754282102924,27.67105428210293,5.5560542821029255,7.111254282102922,1.460854282102923,-3.8080457178970732,-3.731045717897075,1.8394542821029263,2.6815542821029243,4.861354282102926,-2.7135457178970754,12.49625428210293,-1.6343457178970753,8.777554282102926,7.730854282102926,-2.144345717897075,2.7024542821029245,21.30795428210293,7.7257542821029235,3.805454282102925,12.218654282102927,18.645054282102926,5.211054282102927,12.583354282102922
