,name,prob
0,ST舍得,0.3002430021386148
1,洋河股份,0.3975763254011077
2,酒鬼酒,0.6013475427396512
3,广誉远,0.2508805842205971
4,泸州老窖,0.08457446536736558
5,水井坊,0.4180753561557585
6,ST岩石,0.013875914592805677
7,口子窖,0.5730486080061191
8,古井贡酒,0.5256728314599532
9,五粮液,0.2946548360198907
10,青海春天,0.3234258134392781
11,今世缘,0.3449306879431677
12,迎驾贡酒,0.5458090086508501
13,山西汾酒,0.3238830088702197
14,顺鑫农业,0.6130862703273223
15,青青稞酒,0.3571182950810901
16,贵州茅台,0.12332183104548208
17,金种子酒,0.2826865990670957
18,老白干酒,0.4947487543452568
19,伊力特,0.3038606113334141
