,name,prob
0,文化长城,0.5073430475350406
1,飞利信,0.27372755075322114
2,中科信息,0.024156434504812762
3,中青宝,0.38299354337363106
4,林洋能源,0.346011134685108
5,先进数通,0.5784734534001957
6,金科文化,0.2501103512846726
7,鸿远电子,0.4043560642445647
8,万方发展,0.10433558120844427
9,汇金科技,0.24900927741357198
10,国民技术,0.43166083917747167
11,韵达股份,0.6549588300293672
12,*ST晨鑫,0.4708772726159394
13,恒宝股份,0.5612121840406246
14,浩云科技,0.30054059945109557
15,天音控股,0.7199789264873975
16,星期六,0.25373677293647323
17,超图软件,0.33971744398390014
18,五洋停车,0.547483615365894
19,万马股份,0.2239278892112752
20,光一科技,0.48373094422019686
21,天舟文化,0.3374690929294471
22,数码科技,0.4130248783217018
23,思特奇,0.4400678469943746
24,复旦复华,0.8177352975758264
25,聚龙股份,0.0
26,佳沃股份,0.6887328290400623
27,易华录,0.5302203059517285
28,乐心医疗,0.38000174395880676
29,东方财富,0.48379387294734627
30,汇金股份,0.12978343801052658
31,汉得信息,0.39302453090898765
32,新国都,0.28893908037050814
33,福光股份,0.5891078728618105
34,宣亚国际,0.6971549848702057
35,浪潮信息,0.3712790995644047
36,彩讯股份,0.4726468354883032
37,银江股份,0.31911542026367745
38,通策医疗,0.391102732830936
39,梦网集团,0.5947930350779647
40,数字政通,0.42218416670391223
41,华鹏飞,0.3762517092560007
42,石基信息,0.4143372215876388
43,吉艾科技,0.7141741861015082
44,优博讯,0.7089709840865234
45,科蓝软件,0.11714376363142312
46,方直科技,0.6302178026909416
47,金固股份,0.11256104973578215
48,麦达数字,0.5074928034065149
49,百邦科技,0.3054311184570827
50,金冠股份,0.48505729251900653
51,亚联发展,0.3050327609967077
52,德邦股份,0.5312856930816638
53,东方国信,0.3126538514759683
54,博彦科技,0.6608045356275423
55,拉卡拉,0.28490986844797744
56,深科技,0.2793192720650456
57,恺英网络,0.19252792441822736
58,金财互联,0.3571401250973869
59,神州泰岳,0.550449941434827
60,新华网,0.0009183994409532243
61,生意宝,0.38701492518394576
62,高鸿股份,0.7297521584472534
63,中元股份,0.29132286492693227
64,广博股份,0.5479948227161313
65,红相股份,0.31033044760349
66,金桥信息,0.11911669566408396
67,美的集团,0.34670903810948156
68,蓝盾股份,0.19309322899446513
69,任子行,0.09105286749620427
70,中文在线,0.5407435055840178
71,巨人网络,0.6489719031191631
72,英飞拓,0.41601007145605245
73,华宇软件,0.5978327536368974
74,中科创达,0.35126385652932085
75,美亚柏科,0.30367134448275623
76,茂硕电源,0.2174102503322097
77,二六三,0.5080398162057708
78,海联金汇,0.5736982917849055
79,信息发展,0.36905079251960704
80,今天国际,0.19458395106100976
81,新开普,0.10036801613480431
82,旋极信息,0.2606106807653715
83,达实智能,0.11681283146877453
84,润和软件,0.06228864847795741
85,飞天诚信,0.21366375702289578
86,交控科技,0.7588467042566559
87,华扬联众,0.4435602960226598
88,赢时胜,0.07476960293307064
89,积成电子,0.37775088761731795
90,中科金财,0.15524599468799058
91,北信源,0.3468423419914583
92,鸿利智汇,0.33522105373000244
93,奇信股份,0.17056121710805033
94,四维图新,0.6113463180464926
95,新朋股份,0.6650797781080083
96,金运激光,0.5889833322142577
97,众信旅游,0.3803346443826116
98,国盛金控,0.520743846844725
99,天源迪科,0.5326344617143859
100,朗新科技,0.07844007433593528
101,科达股份,0.0055363788120966085
102,汉威科技,0.5643063523395093
103,思创医惠,0.4402646054343862
104,*ST当代,0.21391445745882834
105,辉煌科技,0.36447031362976257
106,新华文轩,0.42813998467354003
107,和仁科技,0.34976370690955305
108,中国长城,0.1476498343506539
109,浙数文化,0.8071929620294293
110,东港股份,0.5402710749701711
111,润建股份,0.34062643255146563
112,普路通,0.31770362001966557
113,海能达,0.7440817266480289
114,浪潮软件,0.320525566087775
115,顺丰控股,0.5897991436434068
116,常山北明,0.18433165988298797
117,视觉中国,0.5760475574157096
118,美盛文化,0.4898095645688229
119,中科曙光,0.713474995602596
120,太阳能,0.4115331591551035
121,国脉科技,0.4593109721695288
122,爱施德,0.2212814325520397
123,华闻集团,0.25167437393721254
124,华媒控股,0.3472293315858712
125,榕基软件,0.14641645165790276
126,格尔软件,0.8040537579336866
127,杭州银行,0.28468948087570023
128,御银股份,0.11175843925577542
129,利欧股份,0.03926520273697257
130,同花顺,0.1923140498671936
131,南威软件,0.4448447866899295
132,创意信息,0.0
133,卓翼科技,0.19953157503099914
134,海峡创新,0.5585325821091597
135,浙江富润,0.26017771221717895
136,华胜天成,0.5349480757571367
137,东软集团,0.43550756100079674
138,久其软件,0.5112426170649714
139,华金资本,0.7992300541867867
140,第一创业,0.02228428806784358
141,恒生电子,0.34306399156395584
142,精准信息,0.09894579719383569
143,怡亚通,0.42017511999522
144,*ST联络,0.5688460803048395
145,苏宁易购,0.7399989398491982
146,银之杰,0.06983165015845968
147,兴业银行,0.34856812760909384
148,合纵科技,0.6801454634112173
149,合金投资,0.049239604974398776
150,二三四五,0.028154933759674906
151,浙大网新,0.5547656599592509
152,荣联科技,0.3004914622435975
153,青岛双星,0.2743560515091625
154,天永智能,0.3909362526873489
155,塞力斯,0.2866720618698586
156,洪涛股份,0.3894707516646554
157,安居宝,0.05902690741018524
158,皖通科技,0.023621901284579947
159,众应互联,0.22315765026909481
160,人民网,0.31410055691312466
161,东方通,0.3492719588926938
162,省广集团,0.43784201142865775
163,深大通,0.8641974804643555
164,广州浪奇,0.0
165,三聚环保,0.3343210355922715
166,大连港,0.01978872216440404
167,新晨科技,0.030875300539700036
168,顺利办,0.34227629361828826
