,name,corr_score,ret_score,score,rank
0,华鹏飞,0.3684352376198715,0.13323796223770853,0.1275493115363726,210
1,信息发展,0.3483999872187389,0.5933895853776561,0.4319410140256843,65
2,*ST联络,0.559641279203291,0.7928544142176221,0.7133532115683507,8
3,浩云科技,0.2685714034285423,0.5930766719853273,0.3629967821059292,100
4,通策医疗,0.40205183963528707,0.2782893112751408,0.2627655999146984,140
5,电魂网络,0.6860273854194571,0.14617063257472196,0.2902729027975518,130
6,百邦科技,0.2878218303861823,0.8344401923933683,0.4688312129410661,49
7,精准信息,0.08999908731719197,0.09439307960154472,-0.08383237042735359,236
8,鸿博股份,0.6033115115677563,0.5112605227847922,0.5705335327094436,25
9,易联众,0.07305644945094272,0.6374858306964015,0.20469056628083204,169
10,奇信股份,0.1749705217197764,0.7547831637086053,0.33929974042521704,109
11,普邦股份,0.21969465661780507,0.5520812932339657,0.30027359893034045,123
12,美亚柏科,0.2958506715931807,0.6283921977384873,0.40380992508232916,81
13,创意信息,0.0,0.4317054111380183,0.04980056523670262,225
14,蓝盾股份,0.17615673691624786,0.32944147688785164,0.13775405152722286,204
15,鲁商发展,0.7183453388190311,0.16675833569717274,0.32044271403443425,116
16,爱迪尔,0.6112825112111733,0.6612021348063788,0.6843593503707773,9
17,方直科技,0.6124795514794357,0.04669727671790885,0.1709430626837838,188
18,金溢科技,0.15031137381730786,0.3158928885057516,0.10914102586024677,216
19,汇金科技,0.2427498896049487,0.8279934072111195,0.4234602407756849,70
20,杭州银行,0.28616950618967424,0.6228060442853756,0.3926405669584707,85
21,数码科技,0.4063299802938989,0.5120381883219255,0.43152695430874666,66
22,用友网络,0.5567300123582807,0.208531926844793,0.29285613447044334,128
23,华扬联众,0.4252107463863849,0.3664280587636885,0.34454918856099925,105
24,怡亚通,0.4318777968708806,0.3998536108713773,0.3735990524736744,96
25,卫宁健康,0.5537941984205794,0.4605156772949497,0.49989789901210824,42
26,中国软件,0.7064572433289259,0.2427937157288829,0.387886272167669,87
27,润和软件,0.06349005559996294,0.5377366757768005,0.15561584803194006,197
28,文化长城,0.486339209585091,0.05804371261918361,0.12709317508652207,212
29,新晨科技,0.033093572840269404,0.989497879139008,0.23303653976720784,154
30,德邦股份,0.5498706715070557,0.111302734513787,0.20380762798936192,170
31,安诺其,0.1221122242648234,0.7304670429737988,0.28166729247590017,133
32,易华录,0.5174078431029954,0.3798213336188657,0.4141776484899494,75
33,中科曙光,0.718134593780435,0.055965014414974784,0.21478420575396828,164
34,科蓝软件,0.12424742574452198,0.3642872485769319,0.11783861017083774,215
35,思特奇,0.4197260553773937,0.5907879506305074,0.4899490496048473,43
36,平安银行,0.2763603138838458,0.8822879645510717,0.466848911470619,50
37,国网信通,0.7744912852871769,0.20854688785989614,0.3770466543432215,94
38,红相股份,0.292764605849664,0.2377510454260852,0.16018974255491814,194
39,*ST当代,0.21025415315388146,0.9045883806444968,0.4045115464579436,80
40,华金资本,0.8027589712867617,0.16505535576680114,0.34207425592796226,107
41,ST摩登,0.4436980675056632,0.8357761569553764,0.619964388402506,15
42,飞利信,0.253490379320473,0.6483177778486524,0.3747988129283858,95
43,光环新网,0.5437391316074952,0.16079707697243822,0.24478508907979968,147
44,福光股份,0.5779140191572913,0.8265829582366172,0.7436776954849629,1
45,众应互联,0.20299026225676844,0.7088651503870171,0.35148127733283985,104
46,中科创达,0.3712069427677856,0.5293351993370342,0.4145663214462062,74
47,银之杰,0.0683127061165461,0.5760069170552461,0.17637343334159672,185
48,第一创业,0.021698581007497133,0.8697950142562723,0.21307193538978275,166
49,传化智联,0.0,0.6179455471841504,0.12950216958817795,209
50,中远海科,0.6965531138434805,0.30682976711911353,0.4433197607507976,60
51,兴业银行,0.3459796481740485,0.9816807173408624,0.5457231345067389,27
52,润建股份,0.3155974769312107,0.35120343404050103,0.25694973750930783,142
53,星期六,0.22421313117427774,0.830067596760701,0.40581973865305476,78
54,思创医惠,0.4149713785799147,0.5555760626881442,0.46530882410603447,52
55,华媒控股,0.3236187013367869,0.3824930427869033,0.2841361982325581,132
56,建科院,0.4814416368204173,0.9838497038457484,0.681190200469037,10
57,新朋股份,0.6465424664947782,0.3959928486676043,0.5001736880823424,41
58,泰豪科技,0.2338966644849504,0.5494806394523425,0.3112469325422528,119
59,北大荒,0.5987776870336488,0.261604015215445,0.3596381881784362,101
60,浙数文化,0.8067290632734464,0.12622199407029816,0.30510243120810443,122
61,南华期货,0.7049104164730444,0.4148606478565466,0.5446635034327995,30
62,大连港,0.015474158932917988,0.8003871820750706,0.1954421824460395,174
63,顶点软件,0.6292011329443236,0.3670894641596274,0.46646912390307593,51
64,恒生电子,0.36084601673523575,0.15895600554984174,0.14365118690657286,200
65,*ST安通,0.20876878782011052,0.7058547325368785,0.35586241080105396,102
66,易见股份,0.2371348952706012,0.3918764435216056,0.22440919030685424,157
67,紫鑫药业,0.09622507858881886,0.5895198957426911,0.2073756881060802,167
68,利欧股份,0.03716285115333905,0.6730594865328198,0.1831689055967305,180
69,*ST高升,0.3530535739234688,0.4761378825017213,0.3675510848328427,98
70,万达信息,0.756502819830859,0.2389197508519943,0.4009167612860888,83
71,*ST晨鑫,0.457044386797956,0.6748305671868692,0.5671208978457095,26
72,浪潮信息,0.3660699137459512,0.3250597601403229,0.27403472978739407,136
73,吉宏股份,0.421071627869528,0.16574703533614174,0.18455129666335446,178
74,塞力斯,0.2698880339319487,0.3383499443672277,0.21468569526541126,165
75,四维图新,0.5975422666319876,0.43513766679827787,0.5064283147231199,38
