,name,corr_score,ret_score,score,rank
0,文化长城,0.5073430475350406,0.057889601586973274,0.136852373557645,208
1,飞利信,0.27372755075322114,0.6483986952267018,0.3930953290176089,87
2,中科信息,0.02415643450481276,0.8798580793288275,0.21678855508038442,165
3,中青宝,0.3829935433736311,0.2744050929920771,0.24753743559420482,152
4,林洋能源,0.3460111346851081,0.5525610926663458,0.40759668618070866,82
5,先进数通,0.5784734534001957,0.6237340244282329,0.6349683956969039,15
6,金科文化,0.2501103512846726,0.7177046477514469,0.3987352802278563,84
7,鸿远电子,0.4043560642445647,0.8250685414538365,0.5791999408897311,25
8,万方发展,0.10433558120844427,0.9132669418221896,0.30014591490059306,128
9,汇金科技,0.249009277413572,0.8280869592839558,0.42958377549591964,71
10,国民技术,0.4316608391774717,0.042859894204782235,0.08683937194754465,222
11,韵达股份,0.6549588300293672,0.4475958274484495,0.5486907195294494,28
12,*ST晨鑫,0.4708772726159394,0.6749660910367986,0.5790185972106365,26
13,恒宝股份,0.5612121840406246,0.06065384263450345,0.1632232878812705,194
14,浩云科技,0.3005405994510956,0.5932883414886496,0.39089072049241347,90
15,天音控股,0.7199789264873975,0.2832768934984233,0.43051717822655666,70
16,星期六,0.25373677293647323,0.8300035851685709,0.434619320127031,69
17,超图软件,0.3397174439839001,0.10607331967037947,0.088659384534026,221
18,五洋停车,0.547483615365894,0.044847345825571316,0.1430763172590095,203
19,万马股份,0.2239278892112752,0.7224633529856339,0.37579461808354864,99
20,光一科技,0.4837309442201969,0.41727749831370303,0.42147623547684443,75
21,天舟文化,0.3374690929294471,0.0,0.00043874569752389014,230
22,数码科技,0.4130248783217018,0.5120357451449689,0.43668557757272874,68
23,思特奇,0.4400678469943746,0.5906898553515185,0.5064159672529391,42
24,复旦复华,0.8177352975758264,0.36091368227029774,0.5354311598795182,34
25,聚龙股份,0.0,0.005464991464642256,-0.21035452394155985,243
26,佳沃股份,0.6887328290400623,0.2554008695859531,0.3929590365224588,88
27,易华录,0.5302203059517285,0.3800602252245025,0.42217078655479756,74
28,乐心医疗,0.3800017439588068,0.7693465396022928,0.5384874481254662,32
29,东方财富,0.4837938729473463,0.13906345359436492,0.19616709431122814,176
30,汇金股份,0.12978343801052658,0.5624339014967511,0.22596665595056042,160
31,汉得信息,0.3930245309089877,0.4536697728739992,0.3833630322170063,94
32,新国都,0.2889390803705081,0.2903619992378866,0.19541365550292888,177
33,福光股份,0.5891078728618105,0.8267318683371373,0.7540693040459255,1
34,宣亚国际,0.6971549848702057,0.013573179192237123,0.16813131843345697,190
35,浪潮信息,0.3712790995644047,0.32527481220775023,0.2777505490997392,136
36,彩讯股份,0.4726468354883032,0.07313807344292411,0.13361620838386945,210
37,银江股份,0.31911542026367745,0.11518988251434825,0.08353560068953314,223
38,通策医疗,0.391102732830936,0.2781771437167686,0.25565677965114975,145
39,梦网集团,0.5947930350779647,0.4506978185892938,0.5174125910010586,38
40,数字政通,0.4221841667039121,0.06543688798549989,0.10123735613833329,217
41,华鹏飞,0.3762517092560007,0.13318580303029595,0.1320913979771987,212
42,石基信息,0.4143372215876388,0.925997063910608,0.6096803200235171,17
43,吉艾科技,0.7141741861015082,0.4784252125626753,0.6052423562651542,18
44,优博讯,0.7089709840865234,0.01789757989010448,0.17568410551759928,187
45,科蓝软件,0.11714376363142312,0.3643024561827707,0.11209076605162194,216
46,方直科技,0.6302178026909416,0.046715568982872484,0.1775079071863861,186
47,金固股份,0.11256104973578217,0.9540412323412834,0.31137178822031264,121
48,麦达数字,0.5074928034065149,0.08083959067748188,0.15720606217608224,198
49,百邦科技,0.3054311184570827,0.8344749982068101,0.4859800721083377,47
50,金冠股份,0.4850572925190065,0.8435508565465581,0.661815713277346,10
51,亚联发展,0.3050327609967077,0.3458585467806101,0.2455994006142732,153
52,德邦股份,0.5312856930816638,0.11128128879335547,0.19525423655596552,178
53,东方国信,0.3126538514759683,0.4181136516519686,0.29942437836424474,129
54,博彦科技,0.6608045356275423,0.10544812332679762,0.24329909422516194,155
55,拉卡拉,0.28490986844797744,0.7359704722961115,0.43772348341128364,66
56,深科技,0.2793192720650456,0.08379411188648307,0.03431825053716575,227
57,恺英网络,0.19252792441822736,0.3036551348424721,0.13374143657572835,209
58,金财互联,0.3571401250973869,0.2347094701918733,0.2005309340585839,174
59,神州泰岳,0.550449941434827,0.015867494747767715,0.11805173735063201,215
60,新华网,0.0009183994409532244,0.09059879646400887,-0.1509902270439769,240
61,生意宝,0.38701492518394576,0.5511459171210711,0.44024958725623053,63
62,高鸿股份,0.7297521584472534,0.29286703736367825,0.44298552014460113,62
63,中元股份,0.2913228649269323,0.7203998878083747,0.43816044700150913,65
64,广博股份,0.5479948227161313,0.2863925481018234,0.3552845001445575,104
65,红相股份,0.31033044760349,0.23759006687766146,0.17193725987836173,188
66,金桥信息,0.11911669566408395,0.5452064252627555,0.20864103802908818,171
67,美的集团,0.3467090381094816,0.8629887819721275,0.5324963260375865,36
68,蓝盾股份,0.19309322899446515,0.32926076435335644,0.15071945632713546,200
69,任子行,0.09105286749620428,0.7442236284639291,0.25575085812957665,144
70,中文在线,0.5407435055840178,0.04543261169274768,0.14070050199059114,205
71,巨人网络,0.6489719031191631,0.5885390090508762,0.659148012971555,11
72,英飞拓,0.4160100714560525,0.12815747377525333,0.15064132577334965,202
73,华宇软件,0.5978327536368974,0.5530903366032477,0.5987789580489726,20
74,中科创达,0.35126385652932085,0.5294842395436707,0.39859893643506605,85
75,美亚柏科,0.30367134448275623,0.6284481933916485,0.4107444384178327,80
