,name,corr_score,ret_score,score,rank
0,ST舍得,0.3002430021386148,0.2323264930598349,0.16125919050333337,19
1,洋河股份,0.3975763254011077,0.4523698208294757,0.3858666590443721,9
2,酒鬼酒,0.6013475427396512,0.4624333667964519,0.530745439452586,1
3,广誉远,0.2508805842205971,0.3861841064136684,0.23152188960366238,15
4,泸州老窖,0.08457446536736557,0.6882626449740139,0.23295083476793055,14
5,水井坊,0.4180753561557585,0.3726004701210677,0.3442743072657263,10
6,ST岩石,0.013875914592805677,0.7122402784234395,0.17274814715085807,18
7,口子窖,0.5730486080061191,0.40143457034433294,0.4647666596893296,5
8,古井贡酒,0.5256728314599532,0.34293138794922906,0.3896140279116719,6
9,五粮液,0.2946548360198907,0.4380888556150662,0.2981929615853992,11
10,青海春天,0.3234258134392781,0.98907079706184,0.5233375454503435,2
11,今世缘,0.3449306879431677,0.0599442875535849,0.05421618701355846,20
12,迎驾贡酒,0.5458090086508501,0.3244057635201157,0.3859256612645492,8
13,山西汾酒,0.3238830088702197,0.7383657497204226,0.47502643730012883,3
14,顺鑫农业,0.6130862703273223,0.13894241565703386,0.25600720460176907,13
15,青青稞酒,0.3571182950810901,0.6555325250272381,0.47064773405880556,4
16,贵州茅台,0.12332183104548207,0.5551446381603603,0.21691256498777123,16
17,金种子酒,0.2826865990670957,0.4525098561141387,0.29762315366024006,12
18,老白干酒,0.4947487543452568,0.36592826345622254,0.3892436936296386,7
19,伊力特,0.3038606113334141,0.2604487703598701,0.18434943523113412,17
