,name,corr_score,ret_score,score,rank
0,特锐德,0.5527374424407479,0.212910442477676,0.29470791069670155,75
1,乐普医疗,0.6697341537486747,0.3802071146083941,0.4977046561579975,29
2,安科生物,0.7240978847915481,0.5223612383390625,0.6484016281591362,10
3,豆神教育,0.05668913034857729,0.23631084105433486,-0.013695401776599336,99
4,华测检测,0.7762254205327416,0.2525889660161816,0.4198087951428131,39
5,亿纬锂能,0.4090371299243444,0.6543161307831765,0.5153581584180162,27
6,爱尔眼科,0.5588290267547933,0.5692992836247777,0.5834491629068592,19
7,网宿科技,0.4322639489529941,0.2894219721250857,0.2904697050911107,76
8,机器人,0.4067468955901524,0.3178653945606117,0.29597739750055385,74
9,红日药业,0.7140644894299288,0.4403901575203954,0.5715715697034266,21
10,同花顺,0.2785676300571962,0.4950860929417677,0.3194304582021362,69
11,数知科技,0.31778646445562403,0.5382413129413749,0.37620609788973136,50
12,蓝色光标,0.4578764915451106,0.3989589868995667,0.39058774542991137,47
13,东方财富,0.4725884001193157,0.18871955830098952,0.23235391243903392,85
14,碧水源,0.8124576527464428,0.23708364433473025,0.4143706358880479,43
15,三聚环保,0.518011254319178,0.7671747856865694,0.6647236868839916,8
16,当升科技,0.07870568067977582,0.9474019677449206,0.27720545308892197,79
17,思创医惠,0.2367999053999129,0.6178467179375428,0.3464687964762565,62
18,长信科技,0.23117018780324475,0.12070013531536225,0.0319813648075129,98
19,高新兴,0.3523102252259053,0.1555762989489811,0.13578506341828778,96
20,顺网科技,0.2960212815046297,0.4126809069442601,0.28319590251668225,77
21,长盈精密,0.5736739567905506,0.4923425406974602,0.5370746715472886,22
22,智飞生物,0.5492006175908157,0.7315213522419373,0.6753087884455278,6
23,汇川技术,0.4074785908998667,0.6741759453772057,0.5238025918322038,25
24,华策影视,0.6418605631886668,0.3334831040472697,0.4433570004354751,35
25,信维通信,0.3759951123777956,0.2762999216038527,0.2444248311896181,83
26,沃森生物,0.5621223334625072,0.29794512779210913,0.3725836027469859,51
27,宋城演艺,0.6092033682519807,0.6147293383837125,0.6512236429219559,9
28,汤臣倍健,0.8000240227380805,0.24221700962998186,0.41627463230032746,41
29,东方国信,0.405341959851676,0.5016101551887339,0.42410656522687107,38
30,万达信息,0.6912494612652434,0.36452259018969785,0.4934885467678438,30
31,华峰超纤,0.20800939666126034,0.7487987737424748,0.3691262599828147,52
32,捷成股份,0.3767122208013697,0.5435176441343068,0.42743039348220935,37
33,美亚柏科,0.20470258657064866,0.6661166444537607,0.3374595250550655,65
34,欣旺达,0.141172974286459,0.9348970859056376,0.3387089635207242,64
35,易华录,0.5622242266605261,0.437879220503971,0.4875202469794684,31
36,北京君正,0.2475578872227536,0.3555269540697069,0.2092857929698615,89
37,上海钢联,0.6690030227690938,0.13252748691169622,0.2715240660632423,80
38,迪安诊断,0.7347234150565461,0.388945603246248,0.5338475082150084,23
39,光线传媒,0.13458715181433173,0.6457901161116462,0.2649042617736772,82
40,卫宁健康,0.22300699582662,0.5098559811057545,0.28132743167536745,78
41,华宇软件,0.3580180018219824,0.6370553747025534,0.46252478887969106,33
42,阳光电源,0.4133801959602886,0.9573099893186828,0.611828909666957,15
43,国瓷材料,0.5296887561623295,0.00991308396203964,0.1038865171024963,97
44,博雅生物,0.20519772922654955,0.5176158860714143,0.2702661224859556,81
45,利亚德,0.1592405906228124,0.7015747149523618,0.30784864781134724,72
46,中际旭创,0.6067952686140283,0.2216459423283582,0.3279650237070627,67
47,掌趣科技,0.2442214231491443,0.012116869144499406,-0.04383050993918425,100
48,晶盛机电,0.16857038300412847,0.9440059299204868,0.36668700724039405,53
49,旋极信息,0.09327342416725952,0.4519350211665959,0.1405056374170619,94
50,泰格医药,0.5511835029150348,0.25584989457868945,0.33098007649181815,66
51,我武生物,0.6705658212367853,0.5815176164507775,0.6674078638597521,7
52,绿盟科技,0.3553202364538249,0.5548625195004626,0.4165720364504286,40
53,光环新网,0.4886884522531641,0.2667417145632126,0.30607203197295463,73
54,三环集团,0.41541234550901696,0.8871405998522669,0.6046177950383677,16
55,芒果超媒,0.6068070561704965,0.35116251296184803,0.44132300966531535,36
56,昆仑万维,0.2892064674146764,0.3309511192174921,0.22385766875857183,87
57,蓝思科技,0.7008406404709032,0.1701350421037728,0.31785932485914337,70
58,先导智能,0.4033861267485269,0.917013362989578,0.5976422195418869,17
59,创业慧康,0.3291304233719181,0.5467206469239909,0.3903530641260061,48
60,深信服,0.5155716003786729,0.6015980702942256,0.572787937015745,20
61,赢合科技,0.546543725323456,0.28196348049879905,0.3507656175230963,59
62,金科文化,0.18643926519109766,0.7987065856886235,0.3619068620565298,54
63,迈克生物,0.7509066130278729,0.7378605361413173,0.8383860982410059,2
64,景嘉微,0.2579285390988216,0.27183547435581473,0.160339656671165,91
65,胜宏科技,0.4656759759732195,0.3828840834332902,0.3837070273902011,49
66,万孚生物,0.7780000426521329,0.05566586715026392,0.229922201301608,86
67,中科创达,0.4651373186693944,0.5896485107792521,0.5258587443377681,24
68,温氏股份,0.793415513746237,0.13582763682048715,0.31147818077213485,71
69,健帆生物,0.5028397459560715,0.32187759158700685,0.35915618632657953,56
70,贝达药业,0.5163722629289688,0.3057322732077249,0.3538892126147074,58
71,精测电子,0.5763511593189983,0.31754822887158024,0.3967448972296076,45
72,欧普康视,0.25487122265677964,0.3524504285724058,0.21281342073493348,88
73,康泰生物,0.7517144116236308,0.4380959063880967,0.5856857939024896,18
74,尚品宅配,0.15871357533914954,0.8682627235796091,0.34846165188096234,60
