,name,prob
0,ST舍得,0.23232649305983488
1,洋河股份,0.45236982082947574
2,酒鬼酒,0.4624333667964519
3,广誉远,0.38618410641366835
4,*ST皇台,0.9176197812687967
5,泸州老窖,0.6882626449740139
6,水井坊,0.3726004701210677
7,ST岩石,0.7122402784234395
8,口子窖,0.40143457034433294
9,古井贡酒,0.34293138794922906
10,五粮液,0.4380888556150662
11,青海春天,0.9890707970618401
12,今世缘,0.0599442875535849
13,迎驾贡酒,0.3244057635201157
14,山西汾酒,0.7383657497204226
15,顺鑫农业,0.13894241565703383
16,青青稞酒,0.6555325250272381
17,贵州茅台,0.5551446381603603
18,金种子酒,0.4525098561141387
19,老白干酒,0.36592826345622254
20,伊力特,0.26044877035987013
