,name,prob
0,特锐德,0.21291044247767596
1,乐普医疗,0.38020711460839407
2,安科生物,0.5223612383390625
3,豆神教育,0.23631084105433484
4,华测检测,0.2525889660161816
5,亿纬锂能,0.6543161307831765
6,爱尔眼科,0.5692992836247777
7,网宿科技,0.2894219721250857
8,机器人,0.31786539456061175
9,红日药业,0.4403901575203954
10,同花顺,0.49508609294176764
11,数知科技,0.5382413129413749
12,蓝色光标,0.3989589868995667
13,东方财富,0.18871955830098952
14,碧水源,0.23708364433473023
15,三聚环保,0.7671747856865694
16,当升科技,0.9474019677449206
17,思创医惠,0.6178467179375428
18,长信科技,0.12070013531536226
19,高新兴,0.1555762989489811
20,顺网科技,0.4126809069442601
21,长盈精密,0.4923425406974602
22,智飞生物,0.7315213522419373
23,汇川技术,0.6741759453772057
24,华策影视,0.3334831040472697
25,信维通信,0.2762999216038527
26,沃森生物,0.29794512779210913
27,宋城演艺,0.6147293383837125
28,汤臣倍健,0.24221700962998183
29,东方国信,0.5016101551887339
30,万达信息,0.36452259018969785
31,华峰超纤,0.7487987737424748
32,捷成股份,0.5435176441343068
33,美亚柏科,0.6661166444537607
34,欣旺达,0.9348970859056375
35,易华录,0.437879220503971
36,北京君正,0.35552695406970686
37,上海钢联,0.13252748691169622
38,迪安诊断,0.38894560324624794
39,光线传媒,0.6457901161116462
40,卫宁健康,0.5098559811057545
41,华宇软件,0.6370553747025534
42,阳光电源,0.9573099893186829
43,国瓷材料,0.009913083962039639
44,博雅生物,0.5176158860714143
45,利亚德,0.7015747149523618
46,中际旭创,0.2216459423283582
47,掌趣科技,0.012116869144499406
48,晶盛机电,0.9440059299204868
49,旋极信息,0.4519350211665959
50,泰格医药,0.25584989457868945
51,我武生物,0.5815176164507775
52,绿盟科技,0.5548625195004626
53,光环新网,0.2667417145632126
54,三环集团,0.8871405998522669
55,芒果超媒,0.351162512961848
56,昆仑万维,0.33095111921749215
57,蓝思科技,0.1701350421037728
58,先导智能,0.9170133629895779
59,创业慧康,0.5467206469239909
60,深信服,0.6015980702942256
61,赢合科技,0.28196348049879905
62,金科文化,0.7987065856886235
63,迈克生物,0.7378605361413173
64,景嘉微,0.27183547435581473
65,胜宏科技,0.3828840834332902
66,万孚生物,0.05566586715026392
67,中科创达,0.5896485107792521
68,温氏股份,0.13582763682048715
69,健帆生物,0.32187759158700685
70,贝达药业,0.30573227320772495
71,精测电子,0.31754822887158024
72,欧普康视,0.3524504285724058
73,康泰生物,0.43809590638809665
74,尚品宅配,0.8682627235796091
75,寒锐钴业,0.5100264103149292
76,亿联网络,0.8019762331056753
77,普利制药,0.3280167006171568
78,开立医疗,0.16707733072925163
79,圣邦股份,0.783228351791968
80,江丰电子,0.36919121382792436
81,宇信科技,0.2283219986014619
82,华大基因,0.4857612309299211
83,朗新科技,0.7620274012951878
84,光威复材,0.202505783468991
85,捷佳伟创,0.7068133436386822
86,华宝股份,0.7024251406424642
87,锐科激光,0.20986115004068429
88,金力永磁,0.7741198579123585
89,宁德时代,0.6398207586595247
90,康龙化成,0.4338862524093617
91,迈瑞医疗,0.7261224143089559
92,立华股份,0.24901552180416847
93,每日互动,0.49170263738046044
94,迪普科技,0.7677780453176153
95,新媒股份,0.23405150641559916
96,拉卡拉,0.7788390438295787
97,三角防务,0.8654323886783664
98,卓胜微,0.6602313116595616
99,三只松鼠,0.29706938337365685
