,name,score,normal_score,rank,prob,prob_flag,prob_sigma
0,浦发银行,144379,0.7704806938194333,143,0.5230245777861905,True,0.4
1,白云机场,100435,0.4358757642902285,1019,0.5189766611323203,True,0.4
2,东风汽车,103204,0.4569598952265649,971,0.8924903482435516,True,0.4
3,中国国贸,132921,0.6832354889553875,280,0.2871646351016304,False,0.4
4,首创股份,122393,0.6030716281761351,513,0.22627943412901946,False,0.4
5,上海机场,101968,0.4475485605074202,997,0.3853190848728363,False,0.4
6,包钢股份,129318,0.6558009913881718,351,0.9743468929486072,True,0.4
7,华能国际,128172,0.6470749480320717,372,0.6194257157108239,True,0.4
8,皖通高速,139301,0.7318150322467658,185,0.8033052149238036,True,0.4
9,华夏银行,160807,0.8955692106204932,27,0.9845829524564028,True,0.4
10,民生银行,157629,0.8713708111565434,46,0.8807201301950996,True,0.4
11,日照港,144716,0.7730467292566111,140,0.6865758881235785,True,0.4
12,上港集团,139236,0.7313200995956781,186,0.8478381797931783,True,0.4
13,宝钢股份,145278,0.7773259931014003,135,0.989144456959083,True,0.4
14,中原高速,157664,0.8716373133532829,45,0.8417074059523459,True,0.4
15,上海电力,125262,0.6249171939602988,439,0.9144128364195976,True,0.4
16,山东钢铁,124071,0.6158485049226763,477,0.871272451303011,True,0.4
17,浙能电力,158237,0.876000335031333,42,0.6408146213997671,True,0.4
18,华能水电,128233,0.6475394232892463,370,0.9101960859769652,True,0.4
19,中远海能,95085,0.3951389999314709,1101,0.5779885833310551,True,0.4
20,华电国际,120326,0.5873327698715459,564,0.2412422414350905,False,0.4
21,中国石化,137877,0.7209722000137059,207,0.9447794918289486,True,0.4
22,南方航空,119922,0.5842565730863238,578,0.888237277538093,True,0.4
23,中信证券,170552,0.9697710365412584,3,0.3757568088146485,False,0.4
24,三一重工,95705,0.3998598959879998,1090,0.8661781949194574,True,0.4
25,福建高速,140319,0.7395664389976472,173,0.9385259671162436,True,0.4
26,楚天高速,138671,0.7270179927054542,193,0.7026933464311644,True,0.4
27,招商银行,140722,0.742635021434391,168,0.7858842690419955,True,0.4
28,歌华有线,112281,0.5260753363638441,774,0.11314194326187885,False,0.4
29,中直股份,103612,0.4600665494057001,960,0.5867598810888138,True,0.4
30,四川路桥,100754,0.4383047414547974,1015,0.4413374274010486,True,0.4
31,保利地产,109484,0.5047780036701159,839,0.7499121764505422,True,0.4
32,中国联通,151613,0.8255628907112563,80,0.7478531202985846,True,0.4
33,宁波联合,120212,0.5864647341450229,566,0.2988950835558673,False,0.4
34,浙江广厦,86966,0.3333181046363768,1227,0.2421747912682272,False,0.4
35,九鼎投资,109691,0.5063541738051184,832,0.3456289090357669,False,0.4
36,黄山旅游,134824,0.69772559410954,253,0.7401954409901731,True,0.4
37,万东医疗,97131,0.4107179569180163,1072,0.327437736313841,False,0.4
38,中国医药,103675,0.4605462533598313,959,0.5521065272403639,True,0.4
39,厦门象屿,70648,0.2090671661679268,1343,0.021306320695909545,False,0.4
40,五矿发展,132583,0.6806618391697314,289,0.4639852492291621,True,0.4
41,古越龙山,117037,0.5622891777265079,649,0.4560730120978762,True,0.4
42,海信视像,104853,0.4695159558672362,938,0.10856255687209466,False,0.4
43,国投资本,162387,0.9075998812161638,22,0.7525352776079478,True,0.4
44,华润双鹤,128835,0.6521232610731663,362,0.6273444264759761,True,0.4
45,皖维高新,134301,0.6937432898554036,259,0.39117369523502665,False,0.4
46,南京高科,151007,0.8209485955334231,84,0.19293091786260544,False,0.4
47,宇通客车,99842,0.4313604556426129,1030,0.8882554532310982,True,0.4
48,冠城大通,127430,0.6414251014611935,389,0.6712200587486217,True,0.4
49,葛洲坝,144571,0.7719426487272617,142,0.6422030394929106,True,0.4
50,浙江富润,105183,0.4720286908650662,932,0.4279985235012385,True,0.4
51,凤凰光学,99154,0.4261217838895615,1044,0.19116635519855724,False,0.4
52,中船科技,87070,0.3341099968781171,1225,0.5153492335989934,True,0.4
53,上海梅林,99193,0.4264187434802141,1043,0.0,False,0.4
54,新疆天业,103687,0.4606376255415706,958,0.5330007167400655,True,0.4
55,康欣新材,145767,0.7810494095072755,130,0.5440999178383527,True,0.4
56,宋都股份,94403,0.389946014269289,1113,0.3632823466110662,False,0.4
57,澄星股份,96347,0.4047483077110507,1081,0.3603621693691437,False,0.4
58,人福医药,77225,0.2591467361095248,1299,0.11032044257946394,False,0.4
59,东风科技,107715,0.491308221212052,873,0.8018324315213431,True,0.4
60,海泰发展,123763,0.6135032855913684,482,0.30465003534211066,False,0.4
61,同仁堂,103123,0.4563431329998249,974,0.16926237954215262,False,0.4
62,中视传媒,116693,0.5596698418499821,661,0.3384504663718459,False,0.4
63,特变电工,124593,0.6198231948283345,463,0.810300282574902,True,0.4
64,易见股份,123117,0.6085844164744044,498,0.3062967592829121,False,0.4
